time,infection_status,risk_group,count,model
21,r,g0-11,27.6,60%
21,r,g1-00,66.3,60%
21,r,g1-01,105.3,60%
21,r,g1-10,68.8,60%
21,r,g1-11,109.4,60%
21,s,g0-00,1181.5,60%
21,s,g0-01,817.7,60%
21,s,g0-10,1292.5,60%
21,s,g0-11,963.5,60%
21,s,g1-00,2597.4,60%
21,s,g1-01,2858.1,60%
21,s,g1-10,2479.0,60%
21,s,g1-11,2713.2,60%
22,i,g0-00,67.2,60%
22,i,g0-01,73.7,60%
22,i,g0-10,65.7,60%
22,i,g0-11,71.1,60%
22,i,g1-00,82.4,60%
22,i,g1-01,144.6,60%
22,i,g1-10,82.6,60%
22,i,g1-11,144.5,60%
22,r,g0-00,32.1,60%
22,r,g0-01,34.0,60%
22,r,g0-10,32.6,60%
22,r,g0-11,37.5,60%
22,r,g1-00,79.2,60%
22,r,g1-01,129.3,60%
22,r,g1-10,83.7,60%
22,r,g1-11,126.6,60%
22,s,g0-00,1191.1,60%
22,s,g0-01,823.0,60%
22,s,g0-10,1299.9,60%
22,s,g0-11,968.7,60%
22,s,g1-00,2548.0,60%
22,s,g1-01,2795.4,60%
22,s,g1-10,2435.5,60%
22,s,g1-11,2651.6,60%
23,i,g0-00,76.2,60%
23,i,g0-01,83.0,60%
23,i,g0-10,76.4,60%
23,i,g0-11,81.3,60%
23,i,g1-00,100.1,60%
23,i,g1-01,167.4,60%
23,i,g1-10,97.1,60%
23,i,g1-11,166.3,60%
23,r,g0-00,42.7,60%
23,r,g0-01,43.4,60%
23,r,g0-10,43.2,60%
23,r,g0-11,38.8,60%
23,r,g1-00,90.2,60%
23,r,g1-01,150.9,60%
23,r,g1-10,93.3,60%
23,r,g1-11,158.8,60%
23,s,g0-00,1177.3,60%
23,s,g0-01,821.6,60%
23,s,g0-10,1356.3,60%
23,s,g0-11,1009.4,60%
23,s,g1-00,2513.5,60%
23,s,g1-01,2733.7,60%
23,s,g1-10,2333.7,60%
23,s,g1-11,2545.4,60%
24,i,g0-00,88.7,60%
24,i,g0-01,92.7,60%
24,i,g0-10,87.6,60%
24,i,g0-11,98.7,60%
24,i,g1-00,113.2,60%
24,i,g1-01,192.9,60%
24,i,g1-10,113.2,60%
24,i,g1-11,185.1,60%
24,r,g0-00,45.1,60%
24,r,g0-01,46.9,60%
24,r,g0-10,48.9,60%
24,r,g0-11,46.7,60%
24,r,g1-00,110.6,60%
24,r,g1-01,182.2,60%
24,r,g1-10,110.5,60%
24,r,g1-11,186.0,60%
24,s,g0-00,1177.7,60%
24,s,g0-01,820.6,60%
24,s,g0-10,1379.0,60%
24,s,g0-11,1030.0,60%
24,s,g1-00,2464.7,60%
24,s,g1-01,2664.7,60%
24,s,g1-10,2260.8,60%
24,s,g1-11,2453.5,60%
25,i,g0-00,97.0,60%
25,i,g0-01,101.5,60%
25,i,g0-10,97.5,60%
25,i,g0-11,111.8,60%
25,i,g1-00,131.7,60%
25,i,g1-01,216.5,60%
25,i,g1-10,127.0,60%
25,i,g1-11,213.3,60%
25,r,g0-00,56.0,60%
25,r,g0-01,56.5,60%
25,r,g0-10,56.2,60%
25,r,g0-11,55.3,60%
25,r,g1-00,129.2,60%
25,r,g1-01,216.4,60%
25,r,g1-10,135.6,60%
25,r,g1-11,215.5,60%
25,s,g0-00,1191.5,60%
25,s,g0-01,818.8,60%
25,s,g0-10,1419.5,60%
25,s,g0-11,1060.8,60%
25,s,g1-00,2394.6,60%
25,s,g1-01,2590.3,60%
25,s,g1-10,2164.2,60%
25,s,g1-11,2343.3,60%
26,i,g0-00,116.2,60%
26,i,g0-01,113.0,60%
26,i,g0-10,114.2,60%
26,i,g0-11,121.0,60%
26,i,g1-00,146.4,60%
26,i,g1-01,249.9,60%
26,i,g1-10,138.9,60%
26,i,g1-11,242.6,60%
26,r,g0-00,64.2,60%
26,r,g0-01,65.4,60%
26,r,g0-10,64.3,60%
26,r,g0-11,64.6,60%
26,r,g1-00,151.9,60%
26,r,g1-01,252.1,60%
26,r,g1-10,161.0,60%
26,r,g1-11,253.6,60%
26,s,g0-00,1167.3,60%
26,s,g0-01,809.4,60%
26,s,g0-10,1427.7,60%
26,s,g0-11,1077.5,60%
26,s,g1-00,2354.0,60%
26,s,g1-01,2510.2,60%
26,s,g1-10,2093.9,60%
26,s,g1-11,2240.7,60%
27,i,g0-00,133.7,60%
27,i,g0-01,136.1,60%
27,i,g0-10,123.9,60%
27,i,g0-11,133.4,60%
27,i,g1-00,168.2,60%
27,i,g1-01,269.3,60%
27,i,g1-10,158.4,60%
27,i,g1-11,272.5,60%
27,r,g0-00,74.7,60%
27,r,g0-01,81.9,60%
27,r,g0-10,82.6,60%
27,r,g0-11,70.8,60%
27,r,g1-00,179.7,60%
27,r,g1-01,289.2,60%
27,r,g1-10,179.7,60%
27,r,g1-11,299.2,60%
27,s,g0-00,1174.2,60%
27,s,g0-01,804.4,60%
27,s,g0-10,1449.3,60%
27,s,g0-11,1095.4,60%
27,s,g1-00,2269.5,60%
27,s,g1-01,2419.1,60%
27,s,g1-10,2006.1,60%
27,s,g1-11,2128.7,60%
28,i,g0-00,150.1,60%
28,i,g0-01,147.9,60%
28,i,g0-10,140.0,60%
28,i,g0-11,146.5,60%
28,i,g1-00,181.8,60%
28,i,g1-01,304.1,60%
28,i,g1-10,173.6,60%
28,i,g1-11,297.4,60%
28,r,g0-00,90.4,60%
28,r,g0-01,91.6,60%
28,r,g0-10,87.7,60%
28,r,g0-11,87.2,60%
28,r,g1-00,206.1,60%
28,r,g1-01,333.3,60%
28,r,g1-10,215.8,60%
28,r,g1-11,336.7,60%
28,s,g0-00,1164.1,60%
28,s,g0-01,806.1,60%
28,s,g0-10,1495.9,60%
28,s,g0-11,1132.2,60%
28,s,g1-00,2207.5,60%
28,s,g1-01,2317.0,60%
28,s,g1-10,1887.0,60%
28,s,g1-11,2000.0,60%
29,i,g0-00,161.8,60%
29,i,g0-01,166.1,60%
29,i,g0-10,154.7,60%
29,i,g0-11,155.8,60%
29,i,g1-00,205.0,60%
29,i,g1-01,335.5,60%
29,i,g1-10,187.5,60%
29,i,g1-11,322.8,60%
29,r,g0-00,101.7,60%
29,r,g0-01,101.8,60%
29,r,g0-10,105.3,60%
29,r,g0-11,98.7,60%
29,r,g1-00,243.5,60%
29,r,g1-01,386.5,60%
29,r,g1-10,243.5,60%
29,r,g1-11,388.9,60%
29,s,g0-00,1173.6,60%
29,s,g0-01,790.9,60%
29,s,g0-10,1517.5,60%
29,s,g0-11,1175.3,60%
29,s,g1-00,2114.4,60%
29,s,g1-01,2219.2,60%
29,s,g1-10,1791.5,60%
29,s,g1-11,1858.5,60%
30,i,g0-00,168.7,60%
30,i,g0-01,176.6,60%
30,i,g0-10,167.2,60%
30,i,g0-11,169.7,60%
30,i,g1-00,227.5,60%
30,i,g1-01,373.9,60%
30,i,g1-10,206.8,60%
30,i,g1-11,350.3,60%
30,r,g0-00,115.4,60%
30,r,g0-01,113.0,60%
30,r,g0-10,118.0,60%
30,r,g0-11,115.2,60%
30,r,g1-00,282.5,60%
30,r,g1-01,444.3,60%
30,r,g1-10,280.0,60%
30,r,g1-11,433.0,60%
30,s,g0-00,1144.2,60%
30,s,g0-01,775.5,60%
30,s,g0-10,1553.6,60%
30,s,g0-11,1192.1,60%
30,s,g1-00,2061.7,60%
30,s,g1-01,2116.7,60%
30,s,g1-10,1674.4,60%
30,s,g1-11,1739.7,60%
31,i,g0-00,194.9,60%
31,i,g0-01,204.3,60%
31,i,g0-10,178.9,60%
31,i,g0-11,185.8,60%
31,i,g1-00,234.4,60%
31,i,g1-01,393.3,60%
31,i,g1-10,221.8,60%
31,i,g1-11,372.5,60%
31,r,g0-00,134.6,60%
31,r,g0-01,121.4,60%
31,r,g0-10,135.5,60%
31,r,g0-11,126.7,60%
31,r,g1-00,316.9,60%
31,r,g1-01,509.1,60%
31,r,g1-10,314.9,60%
31,r,g1-11,491.0,60%
31,s,g0-00,1137.0,60%
31,s,g0-01,747.8,60%
31,s,g0-10,1583.9,60%
31,s,g0-11,1213.7,60%
31,s,g1-00,1982.2,60%
31,s,g1-01,2024.1,60%
31,s,g1-10,1565.0,60%
31,s,g1-11,1610.3,60%
32,i,g0-00,201.6,60%
32,i,g0-01,211.0,60%
32,i,g0-10,190.2,60%
32,i,g0-11,187.4,60%
32,i,g1-00,263.8,60%
