time,infection_status,risk_group,count,model
13,s,g1-10,2766.8,60%
13,s,g1-11,3137.3,60%
14,i,g0-00,3.7777777777777777,60%
14,i,g0-01,2.5555555555555554,60%
14,i,g0-10,2.8,60%
14,i,g0-11,4.222222222222222,60%
14,i,g1-00,2.5,60%
14,i,g1-01,4.9,60%
14,i,g1-10,1.8,60%
14,i,g1-11,4.2,60%
14,r,g0-00,3.0,60%
14,r,g0-01,2.4444444444444446,60%
14,r,g0-10,2.5,60%
14,r,g0-11,2.125,60%
14,r,g1-00,6.4,60%
14,r,g1-01,9.8,60%
14,r,g1-10,7.0,60%
14,r,g1-11,9.3,60%
14,s,g0-00,1205.1,60%
14,s,g0-01,831.7,60%
14,s,g0-10,1220.0,60%
14,s,g0-11,817.5,60%
14,s,g1-00,2780.4,60%
14,s,g1-01,3149.1,60%
14,s,g1-10,2766.4,60%
14,s,g1-11,3163.5,60%
15,i,g0-00,3.6,60%
15,i,g0-01,3.2222222222222223,60%
15,i,g0-10,3.0,60%
15,i,g0-11,4.333333333333333,60%
15,i,g1-00,2.857142857142857,60%
15,i,g1-01,4.7,60%
15,i,g1-10,2.25,60%
15,i,g1-11,4.222222222222222,60%
15,r,g0-00,3.111111111111111,60%
15,r,g0-01,3.3,60%
15,r,g0-10,2.888888888888889,60%
15,r,g0-11,2.0,60%
15,r,g1-00,6.9,60%
15,r,g1-01,9.4,60%
15,r,g1-10,7.3,60%
15,r,g1-11,10.3,60%
15,s,g0-00,1210.4,60%
15,s,g0-01,819.0,60%
15,s,g0-10,1221.9,60%
15,s,g0-11,819.0,60%
15,s,g1-00,2774.3,60%
15,s,g1-01,3160.7,60%
15,s,g1-10,2763.7,60%
15,s,g1-11,3161.2,60%
16,i,g0-00,3.0,60%
16,i,g0-01,2.7,60%
16,i,g0-10,2.4,60%
16,i,g0-11,3.375,60%
16,i,g1-00,2.6666666666666665,60%
16,i,g1-01,4.4,60%
16,i,g1-10,1.8,60%
16,i,g1-11,5.777777777777778,60%
16,r,g0-00,3.3,60%
16,r,g0-01,3.4,60%
16,r,g0-10,4.111111111111111,60%
16,r,g0-11,3.0,60%
16,r,g1-00,7.3,60%
16,r,g1-01,10.6,60%
16,r,g1-10,7.0,60%
16,r,g1-11,10.4,60%
16,s,g0-00,1192.6,60%
16,s,g0-01,828.7,60%
16,s,g0-10,1202.9,60%
16,s,g0-11,820.4,60%
16,s,g1-00,2791.4,60%
16,s,g1-01,3150.2,60%
16,s,g1-10,2782.2,60%
16,s,g1-11,3158.3,60%
17,i,g0-00,2.6,60%
17,i,g0-01,3.1,60%
17,i,g0-10,2.8,60%
17,i,g0-11,3.2222222222222223,60%
17,i,g1-00,2.8,60%
17,i,g1-01,4.3,60%
17,i,g1-10,2.25,60%
17,i,g1-11,6.125,60%
17,r,g0-00,3.3,60%
17,r,g0-01,3.7,60%
17,r,g0-10,4.0,60%
17,r,g0-11,4.444444444444445,60%
17,r,g1-00,8.0,60%
17,r,g1-01,11.2,60%
17,r,g1-10,7.7,60%
17,r,g1-11,10.7,60%
17,s,g0-00,1200.3,60%
17,s,g0-01,825.2,60%
17,s,g0-10,1211.6,60%
17,s,g0-11,844.9,60%
17,s,g1-00,2783.0,60%
17,s,g1-01,3152.5,60%
17,s,g1-10,2772.5,60%
17,s,g1-11,3132.6,60%
18,i,g0-00,3.4,60%
18,i,g0-01,3.1,60%
18,i,g0-10,3.4444444444444446,60%
18,i,g0-11,3.3,60%
18,i,g1-00,2.2857142857142856,60%
18,i,g1-01,5.444444444444445,60%
18,i,g1-10,2.4285714285714284,60%
18,i,g1-11,4.444444444444445,60%
18,r,g0-00,3.7,60%
18,r,g0-01,3.8,60%
18,r,g0-10,4.5,60%
18,r,g0-11,3.3,60%
18,r,g1-00,9.0,60%
18,r,g1-01,12.3,60%
18,r,g1-10,7.2,60%
18,r,g1-11,12.8,60%
18,s,g0-00,1207.7,60%
18,s,g0-01,826.2,60%
18,s,g0-10,1203.4,60%
18,s,g0-11,838.2,60%
18,s,g1-00,2774.6,60%
18,s,g1-01,3149.7,60%
18,s,g1-10,2780.1,60%
18,s,g1-11,3138.4,60%
19,i,g0-00,3.0,60%
19,i,g0-01,3.4,60%
19,i,g0-10,3.0,60%
19,i,g0-11,2.857142857142857,60%
19,i,g1-00,2.4,60%
19,i,g1-01,5.0,60%
19,i,g1-10,2.1,60%
19,i,g1-11,5.1,60%
19,r,g0-00,3.5,60%
19,r,g0-01,3.9,60%
19,r,g0-10,3.5,60%
19,r,g0-11,3.7,60%
19,r,g1-00,9.3,60%
19,r,g1-01,13.2,60%
19,r,g1-10,8.9,60%
19,r,g1-11,13.7,60%
19,s,g0-00,1207.4,60%
19,s,g0-01,804.4,60%
19,s,g0-10,1202.0,60%
19,s,g0-11,842.6,60%
19,s,g1-00,2774.4,60%
19,s,g1-01,3170.1,60%
19,s,g1-10,2780.8,60%
19,s,g1-11,3132.9,60%
20,i,g0-00,3.8,60%
20,i,g0-01,4.222222222222222,60%
20,i,g0-10,3.75,60%
20,i,g0-11,2.6,60%
20,i,g1-00,2.2,60%
20,i,g1-01,5.5,60%
20,i,g1-10,2.6666666666666665,60%
20,i,g1-11,4.3,60%
20,r,g0-00,4.3,60%
20,r,g0-01,3.8,60%
20,r,g0-10,4.2,60%
20,r,g0-11,4.333333333333333,60%
20,r,g1-00,9.0,60%
20,r,g1-01,14.1,60%
20,r,g1-10,8.5,60%
20,r,g1-11,14.7,60%
20,s,g0-00,1196.0,60%
20,s,g0-01,826.9,60%
20,s,g0-10,1229.5,60%
20,s,g0-11,839.0,60%
20,s,g1-00,2784.7,60%
20,s,g1-01,3145.9,60%
20,s,g1-10,2752.4,60%
20,s,g1-11,3135.5,60%
21,i,g0-00,3.6666666666666665,60%
21,i,g0-01,3.9,60%
21,i,g0-10,3.75,60%
21,i,g0-11,3.3333333333333335,60%
21,i,g1-00,2.6666666666666665,60%
21,i,g1-01,5.2,60%
21,i,g1-10,2.8,60%
21,i,g1-11,4.7,60%
21,r,g0-00,3.8,60%
21,r,g0-01,5.2,60%
21,r,g0-10,3.1,60%
21,r,g0-11,3.7,60%
21,r,g1-00,10.2,60%
21,r,g1-01,13.6,60%
21,r,g1-10,10.0,60%
21,r,g1-11,15.4,60%
21,s,g0-00,1192.0,60%
21,s,g0-01,838.9,60%
21,s,g0-10,1200.9,60%
21,s,g0-11,835.7,60%
21,s,g1-00,2788.3,60%
21,s,g1-01,3133.2,60%
21,s,g1-10,2780.2,60%
21,s,g1-11,3137.5,60%
22,i,g0-00,2.9,60%
22,i,g0-01,4.444444444444445,60%
22,i,g0-10,4.1,60%
22,i,g0-11,3.9,60%
22,i,g1-00,3.0,60%
22,i,g1-01,5.9,60%
22,i,g1-10,2.7142857142857144,60%
22,i,g1-11,4.5,60%
22,r,g0-00,3.3,60%
22,r,g0-01,4.0,60%
22,r,g0-10,5.2,60%
22,r,g0-11,5.2,60%
22,r,g1-00,11.8,60%
22,r,g1-01,16.1,60%
22,r,g1-10,9.0,60%
22,r,g1-11,14.2,60%
22,s,g0-00,1179.4,60%
22,s,g0-01,826.1,60%
22,s,g0-10,1192.2,60%
22,s,g0-11,830.9,60%
22,s,g1-00,2799.6,60%
22,s,g1-01,3143.9,60%
22,s,g1-10,2787.6,60%
22,s,g1-11,3141.3,60%
23,i,g0-00,4.0,60%
23,i,g0-01,4.7,60%
23,i,g0-10,4.0,60%
23,i,g0-11,3.6,60%
23,i,g1-00,2.8,60%
23,i,g1-01,5.7,60%
23,i,g1-10,2.75,60%
23,i,g1-11,4.5,60%
23,r,g0-00,4.2,60%
23,r,g0-01,5.0,60%
23,r,g0-10,4.6,60%
23,r,g0-11,5.0,60%
23,r,g1-00,11.2,60%
23,r,g1-01,16.1,60%
23,r,g1-10,10.9,60%
23,r,g1-11,16.2,60%
23,s,g0-00,1191.1,60%
23,s,g0-01,830.0,60%
23,s,g0-10,1217.5,60%
23,s,g0-11,837.6,60%
23,s,g1-00,2787.1,60%
23,s,g1-01,3138.5,60%
23,s,g1-10,2761.2,60%
23,s,g1-11,3133.6,60%
24,i,g0-00,4.333333333333333,60%
24,i,g0-01,4.8,60%
24,i,g0-10,3.6,60%
24,i,g0-11,3.2222222222222223,60%
24,i,g1-00,3.2,60%
24,i,g1-01,6.3,60%
24,i,g1-10,2.4,60%
24,i,g1-11,5.2,60%
24,r,g0-00,4.333333333333333,60%
24,r,g0-01,4.5,60%
24,r,g0-10,5.4,60%
24,r,g0-11,4.9,60%
24,r,g1-00,11.6,60%
24,r,g1-01,17.8,60%
24,r,g1-10,11.1,60%
24,r,g1-11,16.8,60%
24,s,g0-00,1189.1,60%
24,s,g0-01,832.2,60%
24,s,g0-10,1221.2,60%
24,s,g0-11,826.7,60%
24,s,g1-00,2788.3,60%
24,s,g1-01,3134.4,60%
24,s,g1-10,2756.3,60%
24,s,g1-11,3143.5,60%
25,i,g0-00,3.7,60%
25,i,g0-01,4.8,60%
25,i,g0-10,4.0,60%
25,i,g0-11,3.7,60%
25,i,g1-00,4.25,60%
25,i,g1-01,7.3,60%
25,i,g1-10,3.6666666666666665,60%
25,i,g1-11,4.4,60%
25,r,g0-00,5.0,60%
25,r,g0-01,5.5,60%
25,r,g0-10,5.0,60%
25,r,g0-11,5.9,60%
25,r,g1-00,11.0,60%
25,r,g1-01,17.8,60%
25,r,g1-10,12.5,60%
25,r,g1-11,16.8,60%
25,s,g0-00,1196.3,60%
25,s,g0-01,812.2,60%
25,s,g0-10,1192.4,60%
25,s,g0-11,825.2,60%
25,s,g1-00,2780.6,60%
25,s,g1-01,3152.4,60%
25,s,g1-10,2783.3,60%
25,s,g1-11,3144.0,60%
26,i,g0-00,4.666666666666667,60%
26,i,g0-01,4.888888888888889,60%
26,i,g0-10,4.111111111111111,60%
26,i,g0-11,3.7777777777777777,60%
26,i,g1-00,3.8,60%
26,i,g1-01,7.7,60%
26,i,g1-10,3.6,60%
26,i,g1-11,5.3,60%
26,r,g0-00,6.2,60%
26,r,g0-01,4.2,60%
26,r,g0-10,5.888888888888889,60%
26,r,g0-11,4.8,60%
26,r,g1-00,10.0,60%
26,r,g1-01,21.3,60%
26,r,g1-10,12.7,60%
26,r,g1-11,19.5,60%
26,s,g0-00,1206.1,60%
26,s,g0-01,815.7,60%
26,s,g0-10,1201.9,60%
26,s,g0-11,832.0,60%
26,s,g1-00,2769.7,60%
26,s,g1-01,3146.7,60%
26,s,g1-10,2772.8,60%
26,s,g1-11,3135.0,60%
27,i,g0-00,4.3,60%
27,i,g0-01,5.5,60%
27,i,g0-10,4.3,60%
27,i,g0-11,4.888888888888889,60%
27,i,g1-00,4.0,60%
27,i,g1-01,7.5,60%
27,i,g1-10,4.444444444444445,60%
27,i,g1-11,5.2,60%
27,r,g0-00,5.3,60%
27,r,g0-01,5.6,60%
27,r,g0-10,4.9,60%
27,r,g0-11,4.7,60%
27,r,g1-00,12.0,60%
27,r,g1-01,21.2,60%
27,r,g1-10,13.9,60%
27,r,g1-11,20.8,60%
27,s,g0-00,1183.9,60%
27,s,g0-01,827.6,60%
27,s,g0-10,1208.4,60%
27,s,g0-11,840.5,60%
27,s,g1-00,2790.9,60%
27,s,g1-01,3132.6,60%
27,s,g1-10,2764.5,60%
27,s,g1-11,3124.4,60%
28,i,g0-00,4.2,60%
28,i,g0-01,5.7,60%
28,i,g0-10,4.3,60%
28,i,g0-11,3.8,60%
28,i,g1-00,3.6666666666666665,60%
28,i,g1-01,7.2,60%
28,i,g1-10,4.4,60%
28,i,g1-11,5.555555555555555,60%
28,r,g0-00,6.5,60%
28,r,g0-01,5.9,60%
28,r,g0-10,6.1,60%
28,r,g0-11,6.1,60%
28,r,g1-00,11.8,60%
28,r,g1-01,22.9,60%
28,r,g1-10,13.8,60%
28,r,g1-11,21.2,60%
28,s,g0-00,1193.6,60%
28,s,g0-01,829.2,60%
28,s,g0-10,1198.2,60%
28,s,g0-11,834.1,60%
28,s,g1-00,2780.6,60%
28,s,g1-01,3129.1,60%
28,s,g1-10,2773.2,60%
28,s,g1-11,3129.8,60%
29,i,g0-00,4.2,60%
29,i,g0-01,5.9,60%
29,i,g0-10,5.5,60%
29,i,g0-11,3.9,60%
29,i,g1-00,4.222222222222222,60%
29,i,g1-01,7.3,60%
29,i,g1-10,4.0,60%
29,i,g1-11,5.8,60%
29,r,g0-00,5.6,60%
29,r,g0-01,6.6,60%
29,r,g0-10,7.6,60%
29,r,g0-11,6.4,60%
29,r,g1-00,13.4,60%
29,r,g1-01,23.8,60%
29,r,g1-10,13.1,60%
29,r,g1-11,22.3,60%
29,s,g0-00,1190.0,60%
29,s,g0-01,823.8,60%
29,s,g0-10,1201.4,60%
29,s,g0-11,839.0,60%
29,s,g1-00,2783.0,60%
29,s,g1-01,3132.6,60%
29,s,g1-10,2768.8,60%
29,s,g1-11,3122.6,60%
30,i,g0-00,5.4,60%
30,i,g0-01,5.3,60%
30,i,g0-10,4.2,60%
30,i,g0-11,3.8,60%
30,i,g1-00,3.2,60%
30,i,g1-01,7.2,60%
30,i,g1-10,4.6,60%
30,i,g1-11,6.5,60%
30,r,g0-00,5.7,60%
30,r,g0-01,5.0,60%
30,r,g0-10,5.5,60%
30,r,g0-11,6.2,60%
30,r,g1-00,14.2,60%
30,r,g1-01,28.3,60%
30,r,g1-10,16.8,60%
30,r,g1-11,23.9,60%
30,s,g0-00,1193.2,60%
30,s,g0-01,834.6,60%
30,s,g0-10,1196.7,60%
30,s,g0-11,832.1,60%
30,s,g1-00,2778.3,60%
30,s,g1-01,3119.6,60%
30,s,g1-10,2772.2,60%
30,s,g1-11,3127.5,60%
31,i,g0-00,4.9,60%
31,i,g0-01,7.1,60%
31,i,g0-10,4.7,60%
31,i,g0-11,5.5,60%
31,i,g1-00,3.9,60%
31,i,g1-01,7.1,60%
31,i,g1-10,4.2,60%
31,i,g1-11,5.6,60%
31,r,g0-00,7.2,60%
31,r,g0-01,8.0,60%
31,r,g0-10,7.8,60%
31,r,g0-11,6.2,60%
31,r,g1-00,14.0,60%
31,r,g1-01,26.9,60%
31,r,g1-10,15.2,60%
31,r,g1-11,24.7,60%
31,s,g0-00,1196.4,60%
31,s,g0-01,836.4,60%
31,s,g0-10,1204.4,60%
31,s,g0-11,833.2,60%
31,s,g1-00,2773.6,60%
31,s,g1-01,3115.3,60%
31,s,g1-10,2763.7,60%
31,s,g1-11,3124.8,60%
32,i,g0-00,4.5,60%
32,i,g0-01,7.0,60%
32,i,g0-10,3.8,60%
32,i,g0-11,5.2,60%
32,i,g1-00,5.111111111111111,60%
32,i,g1-01,7.6,60%
32,i,g1-10,5.0,60%
32,i,g1-11,6.8,60%
32,r,g0-00,7.4,60%
32,r,g0-01,6.2,60%
32,r,g0-10,6.7,60%
32,r,g0-11,6.8,60%
32,r,g1-00,14.6,60%
32,r,g1-01,30.0,60%
32,r,g1-10,17.8,60%
32,r,g1-11,25.6,60%
32,s,g0-00,1199.6,60%
32,s,g0-01,828.5,60%
32,s,g0-10,1217.9,60%
32,s,g0-11,825.4,60%
32,s,g1-00,2769.3,60%
32,s,g1-01,3121.4,60%
32,s,g1-10,2748.8,60%
32,s,g1-11,3130.2,60%
33,i,g0-00,5.2,60%
33,i,g0-01,5.1,60%
33,i,g0-10,5.5,60%
33,i,g0-11,5.8,60%
33,i,g1-00,4.6,60%
33,i,g1-01,9.9,60%
33,i,g1-10,5.0,60%
33,i,g1-11,7.4,60%
33,r,g0-00,7.3,60%
33,r,g0-01,7.2,60%
33,r,g0-10,8.0,60%
33,r,g0-11,6.5,60%
33,r,g1-00,15.7,60%
33,r,g1-01,30.1,60%
33,r,g1-10,17.2,60%
33,r,g1-11,26.9,60%
33,s,g0-00,1192.9,60%
33,s,g0-01,820.7,60%
33,s,g0-10,1219.5,60%
33,s,g0-11,840.5,60%
33,s,g1-00,2774.3,60%
33,s,g1-01,3127.0,60%
33,s,g1-10,2745.8,60%
33,s,g1-11,3112.9,60%
34,i,g0-00,5.5,60%
34,i,g0-01,5.7,60%
34,i,g0-10,4.8,60%
34,i,g0-11,5.4,60%
34,i,g1-00,4.6,60%
34,i,g1-01,9.9,60%
34,i,g1-10,4.222222222222222,60%
34,i,g1-11,8.3,60%
34,r,g0-00,6.555555555555555,60%
34,r,g0-01,7.5,60%
34,r,g0-10,6.5,60%
34,r,g0-11,6.5,60%
34,r,g1-00,18.4,60%
34,r,g1-01,31.8,60%
34,r,g1-10,20.4,60%
34,r,g1-11,28.7,60%
34,s,g0-00,1197.1,60%
34,s,g0-01,825.5,60%
34,s,g0-10,1218.1,60%
34,s,g0-11,834.7,60%
34,s,g1-00,2768.5,60%
34,s,g1-01,3119.6,60%
34,s,g1-10,2746.4,60%
34,s,g1-11,3116.4,60%
